序号,名称,规格型号,测量范围,生产厂家,出厂编号,管理编号,购置时间,校准时间,责任人,分类
1,数显游标卡尺,,（0～150）mm,,,BPGL-A001,2026.4,,,A类
2,千分尺,,,,,BPGL-A002,2026.4,,,A类
3,百分表,,,,,BPGL-A003,2026.4,,,A类
4,螺纹千分尺,,（0～25）mm,,230308408,BPGL-A004,2026.4,,,A类
5,测厚仪,/,（0～10）mm/0.1 mm,上海九量五金工具有限公司,/,BPGL-A005,2026.4,,,A类
6,电子秒表,YS-801,0.01 s～99 h 59 min 59.99 s；分辨力：0.01 s,深圳市弈圣科技有限公司,/,BPGL-A006,2026.4,,,A类
7,电子秒表,YS-801,0.01 s～99 h 59 min 59.99 s；分辨力：0.01 s,深圳市弈圣科技有限公司,/,BPGL-A007,2026.4,,,A类
8,电子秒表,YS-801,0.01 s～99 h 59 min 59.99 s；分辨力：0.01 s,深圳市弈圣科技有限公司,/,BPGL-A008,2026.4,,,A类
9,温湿度计,YZ-0508,温度：（-10～60）℃；相对湿度：（0～100）%,扬子,,BPGL-A009,2026.4,,,A类
10,温湿度计,YZ-0508,温度：（-10～60）℃；相对湿度：（0～100）%,扬子,,BPGL-A010,2026.4,,,A类
11,温湿度计,YZ-0508,温度：（-10～60）℃；相对湿度：（0～100）%,扬子,,BPGL-A011,2026.4,,,A类
12,温湿度计,/,温度：（-10～60）℃；相对湿度：（0～100）%,蓝骏,/,BPGL-A012,2026.4,,,A类
13,温湿度计,/,温度：（-10～60）℃；相对湿度：（0～100）%,蓝骏,/,BPGL-A013,2026.4,,,A类
14,温湿度计,/,温度：（-10～60）℃；相对湿度：（0～100）%,蓝骏,/,BPGL-A014,2026.4,,,A类
15,温湿度计,/,温度：（-10～60）℃；相对湿度：（0～100）%,蓝骏,/,BPGL-A015,2026.4,,,A类
16,温湿度计,/,温度：（-10～60）℃；相对湿度：（0～100）%,蓝骏,/,BPGL-A016,2026.4,,,A类
17,数显恒温水浴锅,OW-HF,（5～99.9）℃/0.1 ℃,浙江欧迈科实验仪器有限公司,/,BPGL-A017,2026.4,,,A类
18,高速精密切割机,GTQ-5000B,（500～5000）rpm；进刀速度0.01～3 mm/s,莱州市蔚仪试验器械制造有限公司,02079,BPGL-A018,2026.3,,,A类
19,金相试样抛光机,P-2T,/,莱州市蔚仪试验器械制造有限公司,03127,BPGL-A019,2026.3,,,A类
20,热膨胀测试仪,ZRPY-1000,最高温1000 ℃；位移量程：（0～3）mm,湘潭市湘芸仪器设备有限公司,20251015002,BPGL-A020,2026.3,,,A类
