实验名称,检测方法,模板文件,模板分区,字段位置,字段名称,原模板内容,输入类型,字段键
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,表1,表1-R2C5,检测方法（第1条）,□产品标准 □委托协议 □注册技术要求 □仅描述,checkbox,t0_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R1C2,委托单位,,text,t1_r0_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R1C6,报告编号,,text,t1_r0_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R2C2,委托单位地址,,text,t1_r1_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R2C6,样品编号/批号,,text,t1_r1_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R3C2,生产单位,,text,t1_r2_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R3C6,样品数量,,text,t1_r2_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R4C4,实验室样品编号,,text,t1_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R4C6,检验类别,□ 委托检测 □ 型式检验 □ 方法验证 □ 质量控制 □ 其他,checkbox,t1_r3_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R5C2,样品规格,□10 mm×10 mm×10 mm □其他：________,checkbox,t1_r4_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R5C4,材料/工艺,□钴铬合金SLM □钛合金SLM □其他：____,checkbox,t1_r4_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R5C6,接收状态,□完好 □异常：____,checkbox,t1_r4_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R6C2,接收日期,____ 年__ 月__ 日,date,t1_r5_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R6C4,检测日期,____ 年__ 月__ 日,date,t1_r5_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R6C6,检测地点,,text,t1_r5_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,一、样品与委托信息,表2-R7C4,Z轴正方向标识,Z轴正方向标识： □清晰 □不清晰,checkbox,t1_r6_c3
