package_file,source_file,sha256,editable_fields,paragraphs,tables,sections,table_rows,table_cols
RECORD_R001_ROUGHNESS.docx,R001-口腔增材制造金属试样表面粗糙度检测原始记录表.docx,4fc9a36a6f9f2ea42d8e77e76eeea58c8b23b540daf6b696d533ba30eb64af15,288,22,13,1,"[2, 7, 6, 7, 8, 11, 7, 7, 7, 6, 8, 8, 4]","[6, 6, 6, 9, 5, 5, 4, 12, 2, 7, 4, 4, 4]"
RECORD_R004_MC_CRACK.docx,R004-金属-陶瓷结合裂纹萌生试验原始记录表.docx,9a742094aae6ccee7d5afb3af4b968061f7e178da78e74fad1bc3428b2c65066,166,14,8,2,"[9, 3, 3, 11, 5, 7, 7, 10]","[4, 6, 9, 4, 2, 2, 14, 3]"
RECORD_R005_XRAY.docx,R005-金属内部质量_X射线数字成像灰度分析检测原始记录表.docx,feda2c38188c89408e70d45180be9a6970783378fd68877a57bd40c63b760cf8,363,17,11,1,"[1, 8, 6, 9, 4, 7, 11, 18, 7, 14, 5]","[6, 4, 6, 9, 9, 6, 8, 13, 7, 3, 4]"
RECORD_R006_WARPAGE.docx,R006-翘曲变形试验原始记录表.docx,7b60c443f93ccb9aee703f8e454c7cc676f4206a3b041fe59d93d4155acb75e9,347,36,14,1,"[9, 2, 5, 6, 11, 9, 11, 6, 11, 11, 5, 4, 5, 3]","[4, 9, 4, 4, 6, 4, 6, 4, 6, 7, 2, 6, 3, 4]"
RECORD_R007_CTE.docx,R007-热膨胀系数测试原始记录表.docx,b1760ac6cb2a3a83f7f668cbea03b7800e1334e6a14aab1fff2cb86a422aaea1,272,21,9,1,"[9, 7, 3, 13, 7, 7, 7, 7, 6]","[4, 5, 9, 4, 9, 9, 9, 6, 4]"
RECORD_R009_THERMAL_SHOCK.docx,R009-陶瓷牙耐急冷急热性能试验原始记录表.docx,7a895f83e3e0a79427ce823da004e9fe286195e6ecf8bca71fdde6ffc7723e34,362,17,12,1,"[9, 4, 6, 3, 9, 6, 2, 6, 29, 6, 5, 6]","[4, 5, 9, 6, 4, 7, 6, 4, 7, 4, 6, 4]"
RECORD_R010_BENDING.docx,R010激光选区熔化金属材料弯曲性能试验原始记录表.docx,156493cb6c4dab5dd8e386233c1fc1a17f5e51d3e1eddf22cf9d44ac79ff532a,174,14,8,1,"[8, 5, 6, 8, 8, 10, 3, 4]","[6, 9, 5, 6, 11, 4, 7, 4]"
RECORD_R011_VICKERS.docx,R011维氏硬度试验原始记录表.docx,abb6ed3a94dfe5340cf2559b24e623167733494482c6f5b068da861f15dc5cd8,225,14,9,1,"[8, 3, 6, 3, 6, 13, 7, 5, 11]","[6, 9, 6, 8, 2, 9, 7, 7, 6]"
RECORD_R012_COLOR_STABILITY.docx,R012牙科材料色稳定性测定原始记录表.docx,df01bc108c77de9a11d8aeb61a07caf5b4bc13340fe3364d8d0288bd787c7131,562,23,15,1,"[8, 8, 4, 6, 4, 8, 13, 4, 7, 5, 19, 15, 5, 9, 2]","[6, 8, 9, 7, 4, 6, 10, 4, 10, 4, 8, 10, 9, 5, 8]"
RECORD_R013_THICKNESS.docx,R013增材制造金属试样厚度测量试验原始记录表.docx,ad70afebf2e74ea4f2d3b37b0b01daaa91be457ad4173e726931daa54eb2c274,475,12,8,1,"[9, 3, 9, 8, 18, 8, 6, 10]","[6, 9, 5, 5, 18, 10, 7, 6]"
